booking_id,tourist_country,hotel_city,arrival_date,hotel_stars,meal_plan,room_type,nights,price_per_night,transport_type,booking_channel,month,day_of_week,quarter,total_cost,spend_category
B0001,UK,Kandy,2024-10-14,3,Full Board,Standard,4,8142.0,Flight,Agent,10,Monday,4,32568.0,Medium Spender
B0002,UK,Negombo,2024-06-21,3,Room Only,Suite,1,7774.0,Bus,Direct,6,Friday,2,7774.0,Low Spender
B0003,Germany,Negombo,2024-07-12,3,Half Board,Deluxe,5,7507.0,Flight,Online,7,Friday,3,37535.0,Medium Spender
B0004,Russia,Negombo,2024-02-21,4,Half Board,Suite,6,16002.0,Train,Direct,2,Wednesday,1,96012.0,High Spender
B0005,USA,Galle,2024-02-06,5,Breakfast,Standard,2,24811.0,Bus,Agent,2,Tuesday,1,49622.0,Medium Spender
B0006,USA,Colombo,2024-01-17,4,Full Board,Deluxe,1,14132.0,Bus,Agent,1,Wednesday,1,14132.0,Low Spender
B0007,Australia,Kandy,2024-05-15,3,Breakfast,Deluxe,6,8135.0,Taxi,Direct,5,Wednesday,2,48810.0,Medium Spender
B0008,Germany,Colombo,2024-01-25,3,Breakfast,Standard,7,8288.0,Flight,Travel Agency,1,Thursday,1,58016.0,High Spender
B0009,Germany,Negombo,2024-01-06,5,Room Only,Deluxe,7,25704.0,Flight,Direct,1,Saturday,1,179928.0,High Spender
B0010,Russia,Negombo,2024-05-14,5,Breakfast,Budget,7,25626.0,Train,Agent,5,Tuesday,2,179382.0,High Spender
B0011,Russia,Negombo,2024-01-01,5,Half Board,Suite,1,23059.0,Bus,Direct,1,Monday,1,23059.0,Medium Spender
B0012,Germany,Colombo,2024-09-05,3,Breakfast,Standard,6,7960.0,Train,Direct,9,Thursday,3,47760.0,Medium Spender
B0013,Russia,Negombo,2024-12-19,3,Half Board,Suite,6,8239.0,Taxi,Travel Agency,12,Thursday,4,49434.0,Medium Spender
B0014,  India  ,Kandy ,2024-04-27,5,Breakfast,Budget,1,26039.0,Flight,Agent,4,Saturday,2,26039.0,Medium Spender
