booking_id,tourist_country,hotel_city,arrival_date,hotel_stars,meal_plan,room_type,nights,price_per_night,transport_type,booking_channel
B0001,UK,Kandy,2024-10-14,3,Full Board,Standard,4,8142.0,Flight,Agent
B0002,UK,Negombo,2024-06-21,3,Room Only,Suite,1,7774.0,Bus,Direct
B0003,Germany,Negombo,2024-07-12,3,Half Board,Deluxe,5,7507.0,Flight,Online
B0004,Russia,Negombo,2024-02-21,4,Half Board,Suite,6,16002.0,Train,Direct
B0005,USA,Galle,2024-02-06,5,Breakfast,Standard,2,24811.0,Bus,Agent
B0006,USA,Colombo,2024-01-17,4,Full Board,Deluxe,1,14132.0,Bus,Agent
B0007,Australia,Kandy,2024-05-15,3,Breakfast,Deluxe,6,8135.0,Taxi,Direct
B0008,Germany,Colombo,2024-01-25,3,Breakfast,Standard,7,8288.0,Flight,Travel Agency
B0009,Germany,Negombo,2024-01-06,5,Room Only,Deluxe,7,25704.0,Flight,Direct
B0010,Russia,Negombo,2024-05-14,5,Breakfast,Budget,7,25626.0,Train,Agent
B0011,Russia,Negombo,2024-01-01,5,Half Board,Suite,1,23059.0,Bus,Direct
B0012,Germany,Colombo,2024-09-05,3,Breakfast,Standard,6,7960.0,Train,Direct
B0013,Russia,Negombo,2024-12-19,3,Half Board,Suite,6,8239.0,Taxi,Travel Agency
B0014,  India  ,Kandy ,2024-04-27,5,Breakfast,Budget,1,26039.0,Flight,Agent
B0015,India,Kandy,2024-05-22,5,Full Board,Standard,5,23161.0,Taxi,Agent
B0016,  UK  ,Colombo,2024-08-08,4,Full Board,Suite,4,16091.0,Flight,Online
B0017,France,Colombo ,2024-04-08,3,Full Board,Standard,4,7493.0,Taxi,Agent
B0018,France,Negombo,2024-02-20,3,Room Only,Budget,7,8557.0,Train,Travel Agency
B0019,India,Colombo,2024-07-13,3,Full Board,Deluxe,7,8456.0,Bus,Travel Agency
B0020,  USA  ,Galle,2024-09-06,3,Breakfast,Deluxe,2,8749.0,Flight,Direct
B0021,Germany,Negombo,2024-03-21,3,Room Only,Standard,1,8152.0,Train,Travel Agency
B0022,UK,Kandy,2024-11-13,3,Full Board,Deluxe,3,7526.0,Bus,Agent
B0023,China,Kandy,2024-02-07,3,Full Board,Budget,1,8060.0,Bus,Agent
B0024,France,Kandy,2024-03-21,4,Half Board,Budget,6,15951.0,Bus,Online
B0025,UK,Colombo,2024-10-10,3,Half Board,Deluxe,5,7537.0,Bus,Agent
B0026,Germany,Colombo,2024-01-27,3,Full Board,Deluxe,1,7205.0,Train,Direct
B0027,USA,Kandy,2024-02-27,3,Breakfast,Budget,7,7790.0,Train,Travel Agency
B0028,Australia,Galle,2024-01-21,4,Breakfast,Standard,6,13808.0,Taxi,Agent
B0029,UK,Galle,2024-03-31,4,Room Only,Standard,6,16273.0,Taxi,Agent
B0030,  UK  ,Negombo,2024-08-28,3,Breakfast,Suite,3,7688.0,Train,Agent
B0031,India,Negombo,2024-05-22,4,Full Board,Deluxe,1,13846.0,Bus,Agent
B0032,UK,Kandy,2024-06-25,5,Half Board,Suite,5,27421.0,Flight,Travel Agency
B0033,UK,Kandy,2024-09-23,5,Breakfast,Deluxe,4,22849.0,Bus,Direct
B0034,Australia,Kandy,2024-12-07,4,Half Board,Suite,6,14386.0,Train,Agent
B0035,China,Negombo,2024-11-11,5,Half Board,Suite,5,26668.0,Bus,Direct
